person_id,org_id
https://openalex.org/A5076981458,https://openalex.org/I118987531
https://openalex.org/A5079934631,https://openalex.org/I4210156464
https://openalex.org/A5042356208,https://openalex.org/I76130692
https://openalex.org/A5039480864,https://openalex.org/I67415387
https://openalex.org/A5068590850,https://openalex.org/I67415387
https://openalex.org/A5083182498,https://openalex.org/I67415387
https://openalex.org/A5060967387,https://openalex.org/I67415387
https://openalex.org/A5000622487,https://openalex.org/I67415387
https://openalex.org/A5084363234,https://openalex.org/I4577782
https://openalex.org/A5020705170,https://openalex.org/I2800875726
https://openalex.org/A5031762940,https://openalex.org/I4577782
https://openalex.org/A5026929463,https://openalex.org/I186903577
https://openalex.org/A5112005638,https://openalex.org/I197347611
https://openalex.org/A5112005638,https://openalex.org/I4210109712
https://openalex.org/A5112005638,https://openalex.org/I4577782
https://openalex.org/A5058666219,https://openalex.org/I1294671590
https://openalex.org/A5058666219,https://openalex.org/I4210095736
https://openalex.org/A5035155914,https://openalex.org/I1294671590
https://openalex.org/A5035155914,https://openalex.org/I2801356230
https://openalex.org/A5035155914,https://openalex.org/I4210095736
https://openalex.org/A5035155914,https://openalex.org/I4210140930
https://openalex.org/A5080472332,https://openalex.org/I1294671590
https://openalex.org/A5080472332,https://openalex.org/I4210095736
https://openalex.org/A5021144196,https://openalex.org/I107606265
https://openalex.org/A5021144196,https://openalex.org/I1283280774
https://openalex.org/A5021144196,https://openalex.org/I136199984
https://openalex.org/A5021144196,https://openalex.org/I4210087915
https://openalex.org/A5021144196,https://openalex.org/I4210117453
https://openalex.org/A5054665212,https://openalex.org/I107606265
https://openalex.org/A5054665212,https://openalex.org/I1283280774
https://openalex.org/A5054665212,https://openalex.org/I136199984
https://openalex.org/A5054665212,https://openalex.org/I4210087915
https://openalex.org/A5054665212,https://openalex.org/I4210117453
https://openalex.org/A5100675173,https://openalex.org/I1283280774
https://openalex.org/A5100675173,https://openalex.org/I136199984
https://openalex.org/A5100675173,https://openalex.org/I4210087915
https://openalex.org/A5074001163,https://openalex.org/I107606265
https://openalex.org/A5074001163,https://openalex.org/I1283280774
https://openalex.org/A5074001163,https://openalex.org/I136199984
https://openalex.org/A5074001163,https://openalex.org/I4210087915
https://openalex.org/A5074001163,https://openalex.org/I4210117453
https://openalex.org/A5074001163,https://openalex.org/I63966007
https://openalex.org/A5075489954,https://openalex.org/I1283280774
https://openalex.org/A5075489954,https://openalex.org/I136199984
https://openalex.org/A5036791766,https://openalex.org/I1283280774
https://openalex.org/A5036791766,https://openalex.org/I136199984
https://openalex.org/A5036791766,https://openalex.org/I4210087915
https://openalex.org/A5036791766,https://openalex.org/I4210092658
https://openalex.org/A5023061511,https://openalex.org/I1283280774
https://openalex.org/A5023061511,https://openalex.org/I136199984
https://openalex.org/A5023061511,https://openalex.org/I4210087915
https://openalex.org/A5023061511,https://openalex.org/I4210092658
https://openalex.org/A5032079635,https://openalex.org/I107606265
https://openalex.org/A5032079635,https://openalex.org/I1283280774
https://openalex.org/A5032079635,https://openalex.org/I136199984
https://openalex.org/A5032079635,https://openalex.org/I4210087915
https://openalex.org/A5032079635,https://openalex.org/I4210117453
https://openalex.org/A5067998904,https://openalex.org/I107606265
https://openalex.org/A5067998904,https://openalex.org/I1283280774
https://openalex.org/A5067998904,https://openalex.org/I136199984
https://openalex.org/A5050925115,https://openalex.org/I107606265
https://openalex.org/A5050925115,https://openalex.org/I1283280774
https://openalex.org/A5050925115,https://openalex.org/I136199984
https://openalex.org/A5050925115,https://openalex.org/I4210087915
https://openalex.org/A5050925115,https://openalex.org/I4210117453
https://openalex.org/A5011079056,https://openalex.org/I107606265
https://openalex.org/A5011079056,https://openalex.org/I1283280774
https://openalex.org/A5011079056,https://openalex.org/I136199984
https://openalex.org/A5011079056,https://openalex.org/I4210087915
https://openalex.org/A5011079056,https://openalex.org/I4210117453
https://openalex.org/A5026537267,https://openalex.org/I107606265
https://openalex.org/A5026537267,https://openalex.org/I1283280774
https://openalex.org/A5026537267,https://openalex.org/I136199984
https://openalex.org/A5026537267,https://openalex.org/I4210087915
https://openalex.org/A5026537267,https://openalex.org/I4210117453
https://openalex.org/A5080050834,https://openalex.org/I107606265
https://openalex.org/A5080050834,https://openalex.org/I1283280774
https://openalex.org/A5080050834,https://openalex.org/I136199984
https://openalex.org/A5080050834,https://openalex.org/I2801851002
https://openalex.org/A5080050834,https://openalex.org/I4210087915
https://openalex.org/A5080050834,https://openalex.org/I4210117453
https://openalex.org/A5080050834,https://openalex.org/I4210134579
https://openalex.org/A5080050834,https://openalex.org/I4210157861
https://openalex.org/A5031295052,https://openalex.org/I102335020
https://openalex.org/A5043714124,https://openalex.org/I102335020
https://openalex.org/A5058513170,https://openalex.org/I102335020
https://openalex.org/A5051135490,https://openalex.org/I5847235
https://openalex.org/A5002759654,https://openalex.org/I5847235
https://openalex.org/A5101796118,https://openalex.org/I111088046
https://openalex.org/A5088913516,https://openalex.org/I111088046
https://openalex.org/A5073584416,https://openalex.org/I2252096349
https://openalex.org/A5078448594,https://openalex.org/I180825142
https://openalex.org/A5014846205,https://openalex.org/I180825142
https://openalex.org/A5103239229,https://openalex.org/I4210153853
https://openalex.org/A5069043772,https://openalex.org/I190249584
https://openalex.org/A5069043772,https://openalex.org/I4210120293
https://openalex.org/A5009007803,https://openalex.org/I189712700
https://openalex.org/A5009007803,https://openalex.org/I190249584
https://openalex.org/A5013843256,https://openalex.org/I4210148047
https://openalex.org/A5013843256,https://openalex.org/I4210149165
https://openalex.org/A5073015915,https://openalex.org/I124121301
https://openalex.org/A5016968256,https://openalex.org/I4210148047
https://openalex.org/A5001178845,https://openalex.org/I124121301
https://openalex.org/A5090235827,https://openalex.org/I4210148047
https://openalex.org/A5025120190,https://openalex.org/I4210148047
https://openalex.org/A5028889888,https://openalex.org/I2800875726
https://openalex.org/A5028889888,https://openalex.org/I39343248
https://openalex.org/A5067145443,https://openalex.org/I2800875726
https://openalex.org/A5067145443,https://openalex.org/I39343248
https://openalex.org/A5089680948,https://openalex.org/I2800875726
https://openalex.org/A5089680948,https://openalex.org/I39343248
https://openalex.org/A5055272851,https://openalex.org/I2800875726
https://openalex.org/A5055272851,https://openalex.org/I39343248
https://openalex.org/A5012787401,https://openalex.org/I63966007
https://openalex.org/A5012787401,https://openalex.org/I78577930
https://openalex.org/A5029839974,https://openalex.org/I63966007
https://openalex.org/A5029839974,https://openalex.org/I78577930
https://openalex.org/A5039127783,https://openalex.org/I111088046
https://openalex.org/A5038255653,https://openalex.org/I1321305853
https://openalex.org/A5038255653,https://openalex.org/I63966007
https://openalex.org/A5038255653,https://openalex.org/I78577930
https://openalex.org/A5017095669,https://openalex.org/I63966007
https://openalex.org/A5017095669,https://openalex.org/I78577930
https://openalex.org/A5109473006,https://openalex.org/I136199984
https://openalex.org/A5109473006,https://openalex.org/I2801851002
https://openalex.org/A5006784703,https://openalex.org/I114027177
https://openalex.org/A5042355795,https://openalex.org/I55732556
https://openalex.org/A5042355795,https://openalex.org/I63966007
https://openalex.org/A5022698727,https://openalex.org/I55732556
https://openalex.org/A5088539840,https://openalex.org/I50357001
https://openalex.org/A5088539840,https://openalex.org/I63966007
https://openalex.org/A5002041772,https://openalex.org/I111979921
https://openalex.org/A5025745021,https://openalex.org/I111979921
https://openalex.org/A5009232244,https://openalex.org/I4210120221
https://openalex.org/A5009232244,https://openalex.org/I63966007
https://openalex.org/A5029839974,https://openalex.org/I1321305853
https://openalex.org/A5111568766,https://openalex.org/I63966007
https://openalex.org/A5091397663,https://openalex.org/I1321305853
https://openalex.org/A5091397663,https://openalex.org/I136199984
https://openalex.org/A5013327637,https://openalex.org/I83019370
https://openalex.org/A5072377971,https://openalex.org/I74801974
https://openalex.org/A5035882135,https://openalex.org/I141945490
https://openalex.org/A5064724661,https://openalex.org/I141945490
https://openalex.org/A5030092162,https://openalex.org/I4210092408
https://openalex.org/A5082323302,https://openalex.org/I4210092408
https://openalex.org/A5082323302,https://openalex.org/I874792244
https://openalex.org/A5007776666,https://openalex.org/I4210097606
https://openalex.org/A5019737566,https://openalex.org/I887968799
