person_id,name
https://openalex.org/A5031295052,Scott Thiebes
https://openalex.org/A5043714124,Sebastian Lins
https://openalex.org/A5058513170,Ali Sunyaev
https://openalex.org/A5051135490,Shiwanshu Kumar
https://openalex.org/A5002759654,Ravi Tomar
https://openalex.org/A5101796118,Eric Zhou
https://openalex.org/A5088913516,Dokyun Lee
https://openalex.org/A5073584416,Yuri Nakao
https://openalex.org/A5078448594,Lorenzo Strappelli
https://openalex.org/A5014846205,Simone Stumpf
https://openalex.org/A5103239229,Aisha Naseer
https://openalex.org/A5011035709,Daniele Regoli
https://openalex.org/A5071000038,Giulia Del Gamba
https://openalex.org/A5069043772,Vedran Dunjko
https://openalex.org/A5009007803,Hans J. Briegel
https://openalex.org/A5013843256,Ilie Gligorea
https://openalex.org/A5073015915,Marius Cioca
https://openalex.org/A5016968256,Romana Oancea
https://openalex.org/A5001178845,Andra-Teodora Gorski
https://openalex.org/A5090235827,Hortensia Gorski
https://openalex.org/A5025120190,Paul Tudorache
https://openalex.org/A5028889888,Thomas A. R. Purcell
https://openalex.org/A5067145443,Matthias Scheffler
https://openalex.org/A5089680948,Luca M. Ghiringhelli
https://openalex.org/A5055272851,Christian Carbogno
https://openalex.org/A5012787401,Morgan R. Frank
https://openalex.org/A5029839974,David Autor
https://openalex.org/A5039127783,James Bessen
https://openalex.org/A5038255653,Erik Brynjolfsson
https://openalex.org/A5017095669,Manuel Cebrián
https://openalex.org/A5109473006,David Deming
https://openalex.org/A5006784703,Maryann P. Feldman
https://openalex.org/A5042355795,Matthew Groh
https://openalex.org/A5022698727,José Lobo
https://openalex.org/A5088539840,Esteban Moro
https://openalex.org/A5002041772,Dashun Wang
https://openalex.org/A5025745021,Hyejin Youn
https://openalex.org/A5009232244,Iyad Rahwan
https://openalex.org/A5111568766,Frank Levy
https://openalex.org/A5091397663,Richard J. Murnane
https://openalex.org/A5013327637,Christoph Bartneck
https://openalex.org/A5072377971,Dana Kulić
https://openalex.org/A5035882135,Elizabeth A. Croft
https://openalex.org/A5064724661,Susana Zoghbi
https://openalex.org/A5030092162,Emilio Calvano
https://openalex.org/A5082323302,Giacomo Calzolari
https://openalex.org/A5029036509,Vincenzo Denicolò
https://openalex.org/A5007776666,Sergio Pastorello
https://openalex.org/A5019737566,Sebastian Gregor Bouschery
https://openalex.org/A5047249173,Vera Blažević
https://openalex.org/A5062193230,Frank T. Piller
https://openalex.org/A5068475055,Yuchen Jiang
https://openalex.org/A5100430478,Xiang Li
https://openalex.org/A5087736924,Hao Luo
https://openalex.org/A5069744156,Shen Yin
https://openalex.org/A5066257732,Okyay Kaynak
https://openalex.org/A5028466190,Reabal Najjar
https://openalex.org/A5085704796,Kyoungwon Seo
https://openalex.org/A5088440487,Joice Tang
https://openalex.org/A5071585967,Sidney Fels
https://openalex.org/A5028316272,Dongwook Yoon
https://openalex.org/A5079052203,Khaled B. Letaief
https://openalex.org/A5022499594,Yuanming Shi
https://openalex.org/A5108531824,Jianmin Lu
https://openalex.org/A5072435188,Jianhua Lu
https://openalex.org/A5059261666,Tan Yiğitcanlar
https://openalex.org/A5042580144,Federico Cugurullo
https://openalex.org/A5101503948,Qian Zhang
https://openalex.org/A5100675577,Jie Lü
https://openalex.org/A5032314861,Yaochu Jin
https://openalex.org/A5058485387,Sonali Chhabra
https://openalex.org/A5014021452,Sunil Kumar
https://openalex.org/A5050982370,Raman Parkesh
https://openalex.org/A5013721295,Iain Cockburn
https://openalex.org/A5102871257,Rebecca Henderson
https://openalex.org/A5059686380,Scott Stern
https://openalex.org/A5048705228,Shanaka Kristombu Baduge
https://openalex.org/A5056656414,Sadeep Thilakarathna
https://openalex.org/A5022559945,Jude Shalitha Perera
https://openalex.org/A5008300007,Mehrdad Arashpour
https://openalex.org/A5088498777,P. Sharafi
https://openalex.org/A5004838512,Bertrand Teodosio
https://openalex.org/A5045729963,Ankit Shringi
https://openalex.org/A5089286473,Priyan Mendis
https://openalex.org/A5017837767,Arnaud De Bruyn
https://openalex.org/A5083338507,Vijay Viswanathan
https://openalex.org/A5051548449,Yean Shan Beh
https://openalex.org/A5071810855,Jürgen Kai‐Uwe Brock
https://openalex.org/A5060761466,Florian von Wangenheim
https://openalex.org/A5046530261,Jeremy Knox
https://openalex.org/A5108647955,A.D. Semenov
https://openalex.org/A5027819738,Peter D. Turney
https://openalex.org/A5041476585,Patrick Pantel
https://openalex.org/A5089520284,Thomas T. Hills
https://openalex.org/A5070856464,Peter M. Todd
https://openalex.org/A5013670125,David Lazer
https://openalex.org/A5030006518,A. David Redish
https://openalex.org/A5008389022,Iain D. Couzin
https://openalex.org/A5016309170,Ricardo Silva Peres
https://openalex.org/A5043519647,Xiaodong Jia
https://openalex.org/A5100686648,Jay Lee
https://openalex.org/A5055368670,Keyi Sun
https://openalex.org/A5047609699,Armando Walter Colombo
https://openalex.org/A5071443910,José Barata
