person_id,project_id
https://openalex.org/A5000622487,https://openalex.org/W3182546273
https://openalex.org/A5084363234,https://openalex.org/W2778051509
https://openalex.org/A5020705170,https://openalex.org/W2778051509
https://openalex.org/A5031762940,https://openalex.org/W2778051509
https://openalex.org/A5026929463,https://openalex.org/W2778051509
https://openalex.org/A5112005638,https://openalex.org/W2778051509
https://openalex.org/A5058666219,https://openalex.org/W2975103258
https://openalex.org/A5035155914,https://openalex.org/W2975103258
https://openalex.org/A5080472332,https://openalex.org/W2975103258
https://openalex.org/A5021144196,https://openalex.org/W4304014045
https://openalex.org/A5054665212,https://openalex.org/W4304014045
https://openalex.org/A5100675173,https://openalex.org/W4304014045
https://openalex.org/A5074001163,https://openalex.org/W4304014045
https://openalex.org/A5075489954,https://openalex.org/W4304014045
https://openalex.org/A5036791766,https://openalex.org/W4304014045
https://openalex.org/A5023061511,https://openalex.org/W4304014045
https://openalex.org/A5032079635,https://openalex.org/W4304014045
https://openalex.org/A5067998904,https://openalex.org/W4304014045
https://openalex.org/A5050925115,https://openalex.org/W4304014045
https://openalex.org/A5011079056,https://openalex.org/W4304014045
https://openalex.org/A5026537267,https://openalex.org/W4304014045
https://openalex.org/A5080050834,https://openalex.org/W4304014045
https://openalex.org/A5031295052,https://openalex.org/W3090117266
https://openalex.org/A5043714124,https://openalex.org/W3090117266
https://openalex.org/A5058513170,https://openalex.org/W3090117266
https://openalex.org/A5051135490,https://openalex.org/W2921322865
https://openalex.org/A5002759654,https://openalex.org/W2921322865
https://openalex.org/A5101796118,https://openalex.org/W4392447866
https://openalex.org/A5088913516,https://openalex.org/W4392447866
https://openalex.org/A5073584416,https://openalex.org/W4229082339
https://openalex.org/A5078448594,https://openalex.org/W4229082339
https://openalex.org/A5014846205,https://openalex.org/W4229082339
https://openalex.org/A5103239229,https://openalex.org/W4229082339
https://openalex.org/A5011035709,https://openalex.org/W4229082339
https://openalex.org/A5071000038,https://openalex.org/W4229082339
https://openalex.org/A5069043772,https://openalex.org/W2792315573
https://openalex.org/A5009007803,https://openalex.org/W2792315573
https://openalex.org/A5013843256,https://openalex.org/W4389365236
https://openalex.org/A5073015915,https://openalex.org/W4389365236
https://openalex.org/A5016968256,https://openalex.org/W4389365236
https://openalex.org/A5001178845,https://openalex.org/W4389365236
https://openalex.org/A5090235827,https://openalex.org/W4389365236
https://openalex.org/A5025120190,https://openalex.org/W4389365236
https://openalex.org/A5028889888,https://openalex.org/W4381889731
https://openalex.org/A5067145443,https://openalex.org/W4381889731
https://openalex.org/A5089680948,https://openalex.org/W4381889731
https://openalex.org/A5055272851,https://openalex.org/W4381889731
